2024-11-27 09:25:31 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-27 09:25:31 | User ID:  | Operation: Login | Details: User logged in successfully
2024-11-27 09:25:41 | User ID: O001 | Operation: Logout | Details: User logged out
2024-11-27 09:27:04 | User ID: P001 | Operation: Login | Details: User logged in successfully
2024-11-27 09:27:04 | User ID: P001 | Operation: Login | Details: User logged in successfully
2024-11-27 09:27:06 | User ID: P001 | Operation: Logout | Details: User logged out
2024-11-27 09:27:44 | User ID: O002 | Operation: Login | Details: User logged in successfully
2024-11-27 09:27:44 | User ID: O002 | Operation: Access | Details: User logged in successfully
2024-11-27 09:28:00 | User ID: O002 | Operation: Logout | Details: User logged out
2024-11-27 09:28:23 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-27 09:28:24 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-27 09:29:40 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-27 09:29:40 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-27 09:32:06 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-27 09:32:06 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-27 09:32:12 | User ID: O001 | Operation: Logout | Details: User logged out
2024-11-27 09:32:16 | User ID: P001 | Operation: Login | Details: User logged in successfully
2024-11-27 09:32:17 | User ID: P001 | Operation: Access | Details: User logged in successfully
2024-11-27 09:33:57 | User ID: P001 | Operation: Access | Details: User logged in successfully
2024-11-28 07:44:57 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 07:44:57 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 07:50:04 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 07:50:04 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 07:54:17 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 07:54:17 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 08:45:41 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 08:45:41 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 08:46:01 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 08:46:01 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 00:47:17 | User ID:  | Operation: Access | Details: User accessed the database file
2024-11-28 00:49:05 | User ID:  | Operation: Access | Details: User accessed the database file
2024-11-28 08:49:59 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 08:49:59 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 00:50:12 | User ID:  | Operation: Access | Details: User accessed the database file
2024-11-28 08:51:52 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 08:51:53 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 00:52:02 | User ID:  | Operation: Access | Details: User accessed the database file
2024-11-28 08:53:36 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 08:53:56 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 08:55:40 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 08:55:51 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 08:55:52 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 08:59:24 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 08:59:27 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 08:59:37 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 08:59:43 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:00:04 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:00:10 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:00:15 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:00:49 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:01:04 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 09:01:05 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:01:12 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:01:20 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:01:27 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:01:34 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:02:34 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:02:37 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:02:43 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:03:03 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:03:04 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:03:05 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:05:02 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:07:24 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:07:43 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:11:11 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:12:08 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:13:39 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:13:45 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:14:00 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:16:23 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:16:40 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:17:39 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:22:48 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:23:04 | User ID: O001 | Operation: Access | Details: User logged in successfully
